sales_order_sk,id_order,id_date,customer_sk,channel_sk,store_sk,shipping_location_sk,total_amount,subtotal,tax_amount,shipping_fee
38,1000000044,20250902,562,1,,1135,90435.0,73500.0,15435.0,1500.0
39,1000000045,20240201,998,1,,1984,44460.0,36000.0,7560.0,900.0
40,1000000046,20240112,276,1,,493,39930.0,33000.0,6930.0,0.0
41,1000000047,20240308,1469,2,2.0,2,13068.0,10800.0,2268.0,0.0
42,1000000049,20240811,1360,2,2.0,2,49005.0,40500.0,8505.0,0.0
43,1000000050,20240725,1423,1,,665,35685.0,28500.0,5985.0,1200.0
44,1000000051,20240915,741,1,,1867,38252.7,30870.0,6482.7,900.0
45,1000000052,20241104,969,1,,1612,85377.6,70560.0,14817.6,0.0
46,1000000054,20240316,251,2,4.0,4,14941.08,12348.0,2593.08,0.0
47,1000000055,20250723,1087,2,1.0,1,51727.5,42750.0,8977.5,0.0
48,1000000056,20250412,659,1,,1891,87140.25,71025.0,14915.25,1200.0
49,1000000057,20250221,338,2,4.0,4,34394.25,28425.0,5969.25,0.0
50,1000000059,20240701,958,1,,2539,77682.0,64200.0,13482.0,0.0
51,1000000061,20250301,1337,1,,88,15720.0,12000.0,2520.0,1200.0
52,1000000062,20241223,1442,2,3.0,3,54450.0,45000.0,9450.0,0.0
53,1000000063,20240530,939,1,,410,46323.24,37044.0,7779.24,1500.0
54,1000000064,20250304,1409,1,,311,19168.5,14850.0,3118.5,1200.0
55,1000000065,20240917,1062,1,,1403,43888.8,35280.0,7408.8,1200.0
56,1000000068,20241201,77,1,,624,102166.35,84435.0,17731.35,0.0
57,1000000069,20240612,700,1,,480,53361.0,44100.0,9261.0,0.0
58,1000000070,20250725,425,1,,432,15420.0,12000.0,2520.0,900.0
59,1000000071,20240722,1271,2,3.0,3,14229.6,11760.0,2469.6,0.0
60,1000000072,20240202,1129,1,,2540,17018.25,12825.0,2693.25,1500.0
61,1000000073,20241207,1224,1,,1123,19576.35,15435.0,3241.35,900.0
62,1000000074,20241214,446,1,,2068,69071.4,56340.0,11831.4,900.0
63,1000000075,20250322,867,1,,2685,36474.0,29400.0,6174.0,900.0
64,1000000076,20240301,127,1,,3189,29659.2,23520.0,4939.2,1200.0
65,1000000077,20241204,874,2,1.0,1,28459.2,23520.0,4939.2,0.0
66,1000000078,20250109,814,1,,2367,49186.5,40650.0,8536.5,0.0
67,1000000079,20250916,1189,1,,840,40404.0,32400.0,6804.0,1200.0
68,1000000080,20241111,584,1,,69,18687.0,14700.0,3087.0,900.0
69,1000000081,20250202,1433,1,,953,64788.0,52800.0,11088.0,900.0
70,1000000082,20250921,670,1,,3103,42582.0,34200.0,7182.0,1200.0
71,1000000084,20241125,535,1,,153,19050.0,15000.0,3150.0,900.0
72,1000000085,20250301,655,1,,2185,16441.08,12348.0,2593.08,1500.0
73,1000000086,20250818,833,1,,2251,14268.0,10800.0,2268.0,1200.0
74,1000000088,20240203,360,1,,1460,69144.0,56400.0,11844.0,900.0
75,1000000089,20250618,1227,1,,1176,18442.5,14250.0,2992.5,1200.0
76,1000000090,20240127,624,1,,38,45458.25,36825.0,7733.25,900.0
77,1000000091,20240217,228,1,,2302,110342.92,91192.5,19150.42,0.0
78,1000000092,20240613,770,1,,776,37200.0,30000.0,6300.0,900.0
79,1000000093,20241114,54,2,2.0,2,102456.75,84675.0,17781.75,0.0
80,1000000094,20241227,1006,2,4.0,4,90387.0,74700.0,15687.0,0.0
81,1000000095,20250925,247,1,,1295,59897.1,48510.0,10187.1,1200.0
82,1000000096,20250523,1127,2,3.0,3,42688.8,35280.0,7408.8,0.0
83,1000000097,20240612,757,2,2.0,2,18676.35,15435.0,3241.35,0.0
84,1000000098,20250116,520,1,,2447,44351.1,35910.0,7541.1,900.0
85,1000000099,20240227,258,1,,228,14520.0,12000.0,2520.0,0.0
86,1000000101,20240330,3,1,,223,44460.0,36000.0,7560.0,900.0
87,1000000102,20241119,334,1,,2867,43888.8,35280.0,7408.8,1200.0
88,1000000105,20240512,176,1,,2444,27336.0,21600.0,4536.0,1200.0
89,1000000106,20250208,801,1,,2960,19050.0,15000.0,3150.0,900.0
90,1000000107,20240522,1113,1,,1947,42064.2,34020.0,7144.2,900.0
91,1000000108,20250704,810,2,4.0,4,56029.05,46305.0,9724.05,0.0
92,1000000109,20240422,581,2,4.0,4,39930.0,33000.0,6930.0,0.0
93,1000000111,20241220,1333,1,,1880,19876.35,15435.0,3241.35,1200.0
94,1000000112,20250228,24,2,2.0,2,92891.7,76770.0,16121.7,0.0
95,1000000114,20240917,63,2,1.0,1,11761.2,9720.0,2041.2,0.0
96,1000000116,20240701,1091,1,,2613,49116.0,39600.0,8316.0,1200.0
97,1000000117,20250119,524,1,,1258,30240.0,24000.0,5040.0,1200.0
98,1000000118,20250816,1229,1,,2394,47857.68,38808.0,8149.68,900.0
99,1000000119,20250716,458,2,4.0,4,17787.0,14700.0,3087.0,0.0
100,1000000120,20240418,68,1,,1657,14229.6,11760.0,2469.6,0.0
101,1000000121,20241220,959,2,4.0,4,45520.2,37620.0,7900.2,0.0
102,1000000122,20250830,356,2,1.0,1,43560.0,36000.0,7560.0,0.0
103,1000000124,20240206,1420,1,,3008,67367.64,54684.0,11483.64,1200.0
104,1000000125,20240709,279,2,3.0,3,62073.0,51300.0,10773.0,0.0
105,1000000126,20240612,779,2,3.0,3,18150.0,15000.0,3150.0,0.0
106,1000000127,20240228,1383,1,,2117,69988.5,56850.0,11938.5,1200.0
107,1000000129,20250917,1016,1,,3040,76858.8,62280.0,13078.8,1500.0
108,1000000130,20250521,595,2,3.0,3,14701.5,12150.0,2551.5,0.0
109,1000000131,20240125,902,2,4.0,4,47916.0,39600.0,8316.0,0.0
110,1000000132,20240726,317,1,,2546,33216.6,26460.0,5556.6,1200.0
111,1000000133,20240614,1229,2,2.0,2,18150.0,15000.0,3150.0,0.0
112,1000000134,20240106,279,2,3.0,3,75358.8,62280.0,13078.8,0.0
113,1000000135,20240530,1498,2,4.0,4,39930.0,33000.0,6930.0,0.0
114,1000000136,20250120,140,1,,1773,34485.0,28500.0,5985.0,0.0
115,1000000137,20241115,1115,1,,2545,14229.6,11760.0,2469.6,0.0
116,1000000138,20240103,1240,1,,1704,42882.0,34200.0,7182.0,1500.0
117,1000000139,20240406,590,1,,1036,17535.0,13500.0,2835.0,1200.0
118,1000000140,20250217,645,2,3.0,3,16008.3,13230.0,2778.3,0.0
119,1000000143,20240606,551,2,1.0,1,80586.0,66600.0,13986.0,0.0
120,1000000145,20250719,1305,1,,3178,37800.0,30000.0,6300.0,1500.0
121,1000000146,20240505,280,1,,2731,100951.88,82687.5,17364.38,900.0
122,1000000147,20241207,1338,1,,1472,72701.4,59340.0,12461.4,900.0
123,1000000148,20250621,84,1,,2447,43888.8,35280.0,7408.8,1200.0
124,1000000149,20250121,655,1,,1117,17235.0,13500.0,2835.0,900.0
125,1000000150,20250530,513,2,4.0,4,39131.4,32340.0,6791.4,0.0
126,1000000151,20240416,884,2,3.0,3,42688.8,35280.0,7408.8,0.0
127,1000000152,20240108,385,2,2.0,2,11761.2,9720.0,2041.2,0.0
128,1000000154,20240701,110,2,1.0,1,51455.25,42525.0,8930.25,0.0
129,1000000155,20240212,1197,1,,3125,15420.0,12000.0,2520.0,900.0
130,1000000156,20241029,833,2,2.0,2,51727.5,42750.0,8977.5,0.0
131,1000000158,20240424,905,2,1.0,1,36300.0,30000.0,6300.0,0.0
132,1000000159,20240714,389,1,,307,16141.08,12348.0,2593.08,1200.0
133,1000000160,20240613,1299,2,4.0,4,35574.0,29400.0,6174.0,0.0
134,1000000161,20241021,725,1,,2912,55350.0,45000.0,9450.0,900.0
135,1000000162,20250731,645,2,4.0,4,27588.0,22800.0,4788.0,0.0
136,1000000163,20240224,584,1,,136,27036.0,21600.0,4536.0,900.0
137,1000000164,20250222,436,1,,2762,77130.0,63000.0,13230.0,900.0
138,1000000165,20250827,293,1,,2361,29959.2,23520.0,4939.2,1500.0
139,1000000166,20250727,1065,1,,2496,53744.25,43425.0,9119.25,1200.0
140,1000000169,20240708,251,1,,1329,14268.0,10800.0,2268.0,1200.0
141,1000000170,20240329,764,2,4.0,4,36300.0,30000.0,6300.0,0.0
142,1000000172,20240507,181,1,,1805,28488.0,22800.0,4788.0,900.0
143,1000000173,20250616,693,1,,1635,39315.0,31500.0,6615.0,1200.0
144,1000000174,20240907,672,2,2.0,2,14229.6,11760.0,2469.6,0.0
145,1000000175,20240531,786,1,,2161,15420.0,12000.0,2520.0,900.0
146,1000000176,20250225,1347,2,2.0,2,17968.5,14850.0,3118.5,0.0
147,1000000177,20241123,628,1,,868,16718.25,12825.0,2693.25,1200.0
148,1000000178,20250503,1485,2,2.0,2,16335.0,13500.0,2835.0,0.0
149,1000000179,20250812,805,1,,2735,88746.0,72600.0,15246.0,900.0
150,1000000180,20240521,445,1,,753,31692.0,25200.0,5292.0,1200.0
151,1000000181,20241112,560,1,,83,29359.2,23520.0,4939.2,900.0
152,1000000182,20240908,403,1,,2607,31546.8,25080.0,5266.8,1200.0
153,1000000183,20241026,693,2,1.0,1,32670.0,27000.0,5670.0,0.0
154,1000000184,20250511,274,2,2.0,2,16335.0,13500.0,2835.0,0.0
155,1000000185,20240718,804,1,,944,73611.24,59844.0,12567.24,1200.0
156,1000000186,20240730,1495,1,,1364,14694.0,11400.0,2394.0,900.0
157,1000000188,20250823,661,2,3.0,3,32670.0,27000.0,5670.0,0.0
158,1000000189,20240502,984,1,,1812,45723.24,37044.0,7779.24,900.0
159,1000000190,20240605,1384,1,,1972,14229.6,11760.0,2469.6,0.0
160,1000000192,20240308,456,2,2.0,2,14520.0,12000.0,2520.0,0.0
161,1000000193,20240215,427,1,,695,40404.0,32400.0,6804.0,1200.0
162,1000000194,20250913,866,1,,2574,54450.0,45000.0,9450.0,0.0
163,1000000195,20250228,371,1,,600,56666.4,45840.0,9626.4,1200.0
164,1000000196,20250814,1000,1,,1384,37500.0,30000.0,6300.0,1200.0
165,1000000197,20240409,1404,1,,795,14268.0,10800.0,2268.0,1200.0
166,1000000198,20240203,1159,1,,788,36183.6,29160.0,6123.6,900.0
167,1000000199,20250319,1040,1,,2797,59280.0,48000.0,10080.0,1200.0
168,1000000200,20240925,464,1,,2537,27036.0,21600.0,4536.0,900.0
169,1000000202,20250327,1056,2,3.0,3,43560.0,36000.0,7560.0,0.0
170,1000000203,20241117,925,2,3.0,3,39204.0,32400.0,6804.0,0.0
171,1000000205,20240930,903,1,,898,17787.0,14700.0,3087.0,0.0
172,1000000206,20250726,70,1,,1092,29659.2,23520.0,4939.2,1200.0
173,1000000207,20250507,1459,1,,1330,15841.08,12348.0,2593.08,900.0
174,1000000208,20250411,500,2,2.0,2,53905.5,44550.0,9355.5,0.0
175,1000000209,20250403,361,1,,1297,31692.0,25200.0,5292.0,1200.0
176,1000000210,20250320,476,1,,2590,17835.0,13500.0,2835.0,1500.0
177,1000000212,20250218,945,1,,886,15129.6,11760.0,2469.6,900.0
178,1000000213,20240416,1443,1,,900,20557.5,15750.0,3307.5,1500.0
179,1000000214,20240719,1430,1,,2687,28342.8,22680.0,4762.8,900.0
180,1000000215,20240129,1330,1,,1579,62628.15,51015.0,10713.15,900.0
181,1000000216,20250510,274,1,,506,19866.75,15675.0,3291.75,900.0
182,1000000217,20240405,1251,2,2.0,2,72554.62,59962.5,12592.12,0.0
183,1000000218,20240704,176,1,,550,39750.6,31860.0,6690.6,1200.0
184,1000000219,20240612,42,2,2.0,2,54450.0,45000.0,9450.0,0.0
185,1000000220,20250921,582,1,,1933,14694.0,11400.0,2394.0,900.0
186,1000000221,20250507,4,2,1.0,1,28459.2,23520.0,4939.2,0.0
187,1000000222,20240830,569,2,2.0,2,26136.0,21600.0,4536.0,0.0
188,1000000223,20241224,157,2,1.0,1,27442.8,22680.0,4762.8,0.0
189,1000000224,20250322,649,1,,311,50205.0,40500.0,8505.0,1200.0
190,1000000225,20250805,1230,1,,1403,41164.2,34020.0,7144.2,0.0
191,1000000226,20240716,197,1,,2867,36483.6,29160.0,6123.6,1200.0
192,1000000227,20240717,731,1,,2594,43888.8,35280.0,7408.8,1200.0
193,1000000228,20250327,506,1,,2647,43588.8,35280.0,7408.8,900.0
194,1000000230,20241229,485,1,,1341,40104.0,32400.0,6804.0,900.0
195,1000000231,20240608,823,1,,57,58072.5,47250.0,9922.5,900.0
196,1000000232,20250221,680,1,,1497,45892.56,36936.0,7756.56,1200.0
197,1000000233,20241119,417,1,,2093,19050.0,15000.0,3150.0,900.0
198,1000000234,20250528,677,1,,2205,29659.2,23520.0,4939.2,1200.0
199,1000000236,20250104,593,2,1.0,1,29040.0,24000.0,5040.0,0.0
200,1000000237,20241114,606,2,1.0,1,43560.0,36000.0,7560.0,0.0
201,1000000238,20250322,137,2,2.0,2,25613.28,21168.0,4445.28,0.0
202,1000000239,20240220,487,1,,1637,63408.6,51660.0,10848.6,900.0
203,1000000241,20241011,179,2,1.0,1,71874.0,59400.0,12474.0,0.0
204,1000000243,20250608,536,1,,827,19965.0,16500.0,3465.0,0.0
205,1000000244,20240913,1341,2,1.0,1,24829.2,20520.0,4309.2,0.0
206,1000000247,20241202,757,1,,3131,19576.35,15435.0,3241.35,900.0
207,1000000248,20241026,522,2,4.0,4,13068.0,10800.0,2268.0,0.0
208,1000000249,20240419,1384,2,3.0,3,47916.0,39600.0,8316.0,0.0
209,1000000250,20240921,473,1,,843,52955.25,42525.0,8930.25,1500.0
210,1000000251,20240315,1316,2,3.0,3,41382.0,34200.0,7182.0,0.0
211,1000000252,20240302,1356,2,1.0,1,53361.0,44100.0,9261.0,0.0
212,1000000254,20241013,1359,2,2.0,2,25613.28,21168.0,4445.28,0.0
213,1000000255,20240813,843,1,,2933,18687.0,14700.0,3087.0,900.0
214,1000000256,20241001,599,1,,105,29659.2,23520.0,4939.2,1200.0
215,1000000257,20250530,1048,2,1.0,1,70059.0,57900.0,12159.0,0.0
216,1000000258,20241226,319,1,,3048,35385.0,28500.0,5985.0,900.0
217,1000000260,20241212,1491,1,,2539,41130.0,33000.0,6930.0,1200.0
218,1000000261,20250814,79,1,,1366,29040.0,24000.0,5040.0,0.0
219,1000000262,20241118,748,1,,3055,43588.8,35280.0,7408.8,900.0
220,1000000263,20241231,537,1,,3146,49905.0,40500.0,8505.0,900.0
221,1000000264,20250819,303,2,2.0,2,69750.45,57645.0,12105.45,0.0
222,1000000265,20240427,1065,1,,1757,64468.56,52536.0,11032.56,900.0
223,1000000266,20250507,606,1,,1858,48325.95,39195.0,8230.95,900.0
224,1000000267,20240229,553,1,,1632,33870.0,27000.0,5670.0,1200.0
225,1000000270,20240216,663,2,1.0,1,14229.6,11760.0,2469.6,0.0
226,1000000272,20241025,844,1,,1061,33144.0,26400.0,5544.0,1200.0
227,1000000273,20240301,720,1,,353,43588.8,35280.0,7408.8,900.0
228,1000000274,20240928,169,2,1.0,1,77064.9,63690.0,13374.9,0.0
229,1000000275,20240621,969,1,,1858,27336.0,21600.0,4536.0,1200.0
230,1000000276,20250526,268,2,4.0,4,29040.0,24000.0,5040.0,0.0
231,1000000277,20241014,122,2,1.0,1,50820.0,42000.0,8820.0,0.0
232,1000000278,20250304,617,1,,2841,27636.0,21600.0,4536.0,1500.0
233,1000000280,20240720,732,2,1.0,1,33033.0,27300.0,5733.0,0.0
234,1000000281,20250311,211,1,,2122,54101.28,43968.0,9233.28,900.0
235,1000000282,20241228,475,1,,1567,24422.4,19440.0,4082.4,900.0
236,1000000283,20250721,949,1,,2712,16718.25,12825.0,2693.25,1200.0
237,1000000284,20240309,426,2,2.0,2,70785.0,58500.0,12285.0,0.0
238,1000000286,20240711,500,1,,2067,37074.0,29400.0,6174.0,1500.0
239,1000000287,20250617,677,2,1.0,1,51727.5,42750.0,8977.5,0.0
240,1000000288,20250201,33,2,1.0,1,14229.6,11760.0,2469.6,0.0
241,1000000290,20241104,78,1,,2789,105354.3,85830.0,18024.3,1500.0
242,1000000291,20241017,102,1,,1996,56900.25,47025.0,9875.25,0.0
243,1000000292,20250429,1072,2,4.0,4,32270.7,26670.0,5600.7,0.0
244,1000000293,20250821,754,1,,1359,27036.0,21600.0,4536.0,900.0
245,1000000296,20240628,240,2,2.0,2,18150.0,15000.0,3150.0,0.0
246,1000000298,20241104,849,2,1.0,1,41382.0,34200.0,7182.0,0.0
247,1000000299,20240506,807,2,3.0,3,43560.0,36000.0,7560.0,0.0
248,1000000300,20241119,901,1,,1279,54633.6,44160.0,9273.6,1200.0
249,1000000301,20240506,61,1,,371,29040.0,24000.0,5040.0,0.0
250,1000000303,20240316,1286,2,3.0,3,39204.0,32400.0,6804.0,0.0
251,1000000304,20240315,1416,1,,1942,119873.77,98077.5,20596.27,1200.0
252,1000000305,20250413,979,1,,2689,31692.0,25200.0,5292.0,1200.0
253,1000000306,20240429,800,1,,969,83671.5,69150.0,14521.5,0.0
254,1000000307,20240912,800,1,,3193,17835.0,13500.0,2835.0,1500.0
255,1000000308,20240327,757,1,,1366,17835.0,13500.0,2835.0,1500.0
256,1000000310,20250104,673,1,,1712,27636.0,21600.0,4536.0,1500.0
257,1000000311,20250107,1266,2,2.0,2,36209.25,29925.0,6284.25,0.0
258,1000000312,20250223,7,2,2.0,2,36209.25,29925.0,6284.25,0.0
259,1000000313,20250519,1040,2,3.0,3,71692.5,59250.0,12442.5,0.0
260,1000000314,20241015,873,1,,2430,33579.6,26760.0,5619.6,1200.0
261,1000000315,20250505,1336,1,,2185,54351.75,44175.0,9276.75,900.0
262,1000000316,20250427,708,2,1.0,1,71601.75,59175.0,12426.75,0.0
263,1000000317,20240816,380,1,,742,37437.0,29700.0,6237.0,1500.0
264,1000000318,20241006,634,2,4.0,4,15246.0,12600.0,2646.0,0.0
265,1000000319,20240420,578,1,,2483,15429.6,11760.0,2469.6,1200.0
266,1000000320,20250818,1479,1,,517,36592.5,29250.0,6142.5,1200.0
267,1000000321,20250802,1399,1,,3181,94491.0,77100.0,16191.0,1200.0
268,1000000322,20241120,522,2,4.0,4,37243.8,30780.0,6463.8,0.0
269,1000000323,20250401,247,2,1.0,1,54711.36,45216.0,9495.36,0.0
270,1000000324,20250111,96,2,4.0,4,69812.16,57696.0,12116.16,0.0
271,1000000325,20241014,798,2,2.0,2,28749.6,23760.0,4989.6,0.0
272,1000000326,20240616,21,1,,2820,84070.8,69480.0,14590.8,0.0
273,1000000327,20250109,1236,1,,1160,31082.16,24696.0,5186.16,1200.0
274,1000000328,20250210,130,1,,2634,82239.75,66975.0,14064.75,1200.0
275,1000000329,20240315,169,1,,1195,44324.4,35640.0,7484.4,1200.0
276,1000000330,20241214,973,2,2.0,2,29040.0,24000.0,5040.0,0.0
277,1000000331,20241224,1449,1,,1764,68581.35,55935.0,11746.35,900.0
278,1000000332,20250917,210,1,,2680,62547.0,50700.0,10647.0,1200.0
279,1000000334,20250507,1350,1,,1059,71341.2,57720.0,12121.2,1500.0
280,1000000335,20240210,170,1,,1428,73691.1,59910.0,12581.1,1200.0
281,1000000336,20240719,217,1,,1796,47964.0,38400.0,8064.0,1500.0
282,1000000337,20240912,254,1,,2438,17835.0,13500.0,2835.0,1500.0
283,1000000340,20240805,1410,1,,3049,14268.0,10800.0,2268.0,1200.0
284,1000000341,20241221,128,2,2.0,2,30492.0,25200.0,5292.0,0.0
285,1000000342,20241006,499,1,,601,18142.5,14250.0,2992.5,900.0
286,1000000343,20240811,494,1,,2683,27989.4,22140.0,4649.4,1200.0
287,1000000344,20240723,755,1,,2503,41430.0,33000.0,6930.0,1500.0
288,1000000345,20240501,518,1,,2592,41164.2,34020.0,7144.2,0.0
289,1000000346,20250312,1171,2,4.0,4,41382.0,34200.0,7182.0,0.0
290,1000000347,20240818,1261,1,,1440,54261.0,44100.0,9261.0,900.0
291,1000000348,20241115,468,2,4.0,4,12414.6,10260.0,2154.6,0.0
292,1000000349,20240829,503,1,,2651,44760.0,36000.0,7560.0,1200.0
293,1000000350,20240318,1073,2,3.0,3,42688.8,35280.0,7408.8,0.0
294,1000000351,20240503,997,2,1.0,1,32670.0,27000.0,5670.0,0.0
295,1000000352,20250216,435,1,,2445,35203.5,28350.0,5953.5,900.0
296,1000000353,20250508,1401,2,4.0,4,41382.0,34200.0,7182.0,0.0
297,1000000354,20250509,202,1,,1194,17172.0,13200.0,2772.0,1200.0
298,1000000355,20241209,920,1,,173,50205.0,40500.0,8505.0,1200.0
299,1000000356,20250605,1101,1,,1472,53361.0,44100.0,9261.0,0.0
300,1000000357,20240229,305,1,,1215,14229.6,11760.0,2469.6,0.0
301,1000000358,20250708,268,1,,2817,34485.0,28500.0,5985.0,0.0
302,1000000359,20240709,636,2,3.0,3,35574.0,29400.0,6174.0,0.0
303,1000000360,20240923,736,2,4.0,4,62871.6,51960.0,10911.6,0.0
304,1000000361,20250119,938,1,,227,72783.6,59160.0,12423.6,1200.0
305,1000000362,20240814,356,1,,2341,43560.0,36000.0,7560.0,0.0
306,1000000363,20240607,544,1,,406,13794.0,11400.0,2394.0,0.0
307,1000000364,20250818,952,2,2.0,2,29882.16,24696.0,5186.16,0.0
308,1000000366,20250715,1183,1,,449,57529.05,46305.0,9724.05,1500.0
309,1000000367,20250419,1154,1,,1665,33570.0,27000.0,5670.0,900.0
310,1000000369,20241211,666,2,1.0,1,39204.0,32400.0,6804.0,0.0
311,1000000370,20250818,1010,2,2.0,2,36209.25,29925.0,6284.25,0.0
312,1000000371,20240115,977,1,,669,37500.0,30000.0,6300.0,1200.0
313,1000000372,20240821,172,1,,1165,15383.7,11970.0,2513.7,900.0
314,1000000373,20240218,1179,1,,962,16146.0,12600.0,2646.0,900.0
315,1000000374,20250414,1048,2,2.0,2,53361.0,44100.0,9261.0,0.0
316,1000000375,20250624,480,1,,2572,18051.75,14175.0,2976.75,900.0
317,1000000376,20241215,164,2,2.0,2,51727.5,42750.0,8977.5,0.0
318,1000000377,20240802,902,2,1.0,1,36300.0,30000.0,6300.0,0.0
319,1000000378,20250905,1096,1,,442,49224.9,39690.0,8334.9,1200.0
320,1000000379,20250615,1208,1,,2804,13968.0,10800.0,2268.0,900.0
321,1000000380,20240613,538,2,2.0,2,68534.4,56640.0,11894.4,0.0
322,1000000381,20250518,695,1,,1403,80779.2,65520.0,13759.2,1500.0
323,1000000382,20240621,766,1,,1821,37800.0,30000.0,6300.0,1500.0
324,1000000383,20241120,295,2,2.0,2,51455.25,42525.0,8930.25,0.0
325,1000000384,20250608,864,1,,705,42688.8,35280.0,7408.8,0.0
326,1000000385,20240511,314,2,2.0,2,91294.5,75450.0,15844.5,0.0
327,1000000386,20241023,299,2,1.0,1,17242.5,14250.0,2992.5,0.0
328,1000000387,20250327,786,1,,1285,44760.0,36000.0,7560.0,1200.0
329,1000000388,20240603,356,1,,3017,53835.0,43500.0,9135.0,1200.0
330,1000000389,20240503,792,1,,2065,12414.6,10260.0,2154.6,0.0
331,1000000390,20240316,88,1,,1077,19957.5,15750.0,3307.5,900.0
332,1000000392,20240815,1,2,2.0,2,35574.0,29400.0,6174.0,0.0
333,1000000393,20240320,803,2,3.0,3,14229.6,11760.0,2469.6,0.0
334,1000000394,20250731,589,1,,2934,47454.75,38475.0,8079.75,900.0
335,1000000395,20240601,1238,2,3.0,3,44823.24,37044.0,7779.24,0.0
336,1000000396,20240814,293,1,,1043,58045.8,46980.0,9865.8,1200.0
337,1000000397,20250705,882,1,,496,15420.0,12000.0,2520.0,900.0
338,1000000399,20241003,960,2,2.0,2,57354.0,47400.0,9954.0,0.0
339,1000000400,20250313,1084,2,1.0,1,15246.0,12600.0,2646.0,0.0
340,1000000401,20250624,1411,2,2.0,2,49005.0,40500.0,8505.0,0.0
341,1000000402,20241219,889,1,,1351,44324.4,35640.0,7484.4,1200.0
342,1000000403,20241214,814,1,,1075,55650.0,45000.0,9450.0,1200.0
343,1000000404,20250312,293,1,,1501,46076.4,36840.0,7736.4,1500.0
344,1000000405,20240819,1121,1,,568,80198.4,65040.0,13658.4,1500.0
345,1000000406,20240825,696,2,1.0,1,51727.5,42750.0,8977.5,0.0
346,1000000408,20241112,106,1,,1901,38252.7,30870.0,6482.7,900.0
347,1000000410,20250720,305,1,,2334,42688.8,35280.0,7408.8,0.0
348,1000000411,20241108,381,1,,3108,47754.75,38475.0,8079.75,1200.0
349,1000000412,20241119,176,2,3.0,3,28459.2,23520.0,4939.2,0.0
350,1000000414,20250512,128,1,,1304,48634.5,39450.0,8284.5,900.0
351,1000000415,20250430,424,2,2.0,2,17787.0,14700.0,3087.0,0.0
352,1000000417,20240330,105,2,3.0,3,31944.0,26400.0,5544.0,0.0
353,1000000419,20240322,283,1,,941,79436.1,64410.0,13526.1,1500.0
354,1000000420,20241209,1430,2,2.0,2,13794.0,11400.0,2394.0,0.0
