location_sk,id_location,address_line1,city,id_province,postal_code
130,1126,Calle 2949,Mar del Plata,1,6149
131,1127,Calle 3379,Mar del Plata,1,5206
132,1128,Calle 8293,CABA,1,7931
133,1129,Calle 8511,CABA,1,3291
134,1130,Calle 5770,Río Cuarto,2,2622
135,1131,Calle 2322,CABA,1,4539
136,1132,Calle 6915,Mar del Plata,1,5270
137,1133,Calle 6555,Córdoba,2,7968
138,1134,Calle 4414,CABA,1,7097
139,1135,Calle 9912,Río Cuarto,2,6183
140,1136,Calle 4056,Mar del Plata,1,9707
141,1137,Calle 1081,Villa Carlos Paz,2,6944
142,1138,Calle 3699,Rosario,3,7179
143,1139,Calle 2024,CABA,1,9021
144,1140,Calle 9375,Mar del Plata,1,2623
145,1141,Calle 2961,La Plata,1,8812
146,1142,Calle 8415,Mar del Plata,1,3337
147,1143,Calle 867,Villa Carlos Paz,2,5081
148,1144,Calle 7192,Córdoba,2,5519
149,1145,Calle 3749,Mar del Plata,1,6007
150,1146,Calle 1303,Rosario,3,2534
151,1147,Calle 4684,Córdoba,2,7946
152,1148,Calle 7859,Mendoza,4,7643
153,1149,Calle 120,Río Cuarto,2,5001
154,1150,Calle 9952,Córdoba,2,3864
155,1151,Calle 8417,CABA,1,9118
156,1152,Calle 5538,CABA,1,5752
157,1153,Calle 3491,La Plata,1,4562
158,1154,Calle 8447,San Rafael,4,1942
159,1155,Calle 5383,La Plata,1,1084
160,1156,Calle 6588,Rosario,3,8058
161,1157,Calle 8427,Mar del Plata,1,8985
162,1158,Calle 4099,Mar del Plata,1,7132
163,1159,Calle 8789,CABA,1,8198
164,1160,Calle 7111,Mar del Plata,1,2813
165,1161,Calle 6465,CABA,1,1517
166,1162,Calle 4355,Villa Carlos Paz,2,9119
167,1163,Calle 8223,La Plata,1,3153
168,1164,Calle 2067,Mendoza,4,4874
169,1165,Calle 7040,Villa Carlos Paz,2,8116
170,1166,Calle 1354,La Plata,1,9376
171,1167,Calle 4318,CABA,1,4250
172,1168,Calle 8231,Córdoba,2,3436
173,1169,Calle 629,La Plata,1,7984
174,1170,Calle 835,Córdoba,2,4791
175,1171,Calle 1006,La Plata,1,5985
176,1172,Calle 5752,La Plata,1,6240
177,1173,Calle 855,CABA,1,4473
178,1174,Calle 1651,Mar del Plata,1,9049
179,1175,Calle 1588,CABA,1,6426
180,1176,Calle 9649,Villa Carlos Paz,2,4903
181,1177,Calle 1430,La Plata,1,1672
182,1178,Calle 1617,La Plata,1,5939
183,1179,Calle 8742,Mendoza,4,3094
184,1180,Calle 4138,Mar del Plata,1,8347
185,1181,Calle 7911,Mendoza,4,3735
186,1182,Calle 4746,Córdoba,2,4116
187,1183,Calle 8413,Mar del Plata,1,9344
188,1184,Calle 6568,Villa Carlos Paz,2,4015
189,1185,Calle 9702,CABA,1,9254
190,1186,Calle 4856,CABA,1,3803
191,1187,Calle 4782,CABA,1,5550
192,1188,Calle 4080,CABA,1,1022
193,1189,Calle 5318,Villa Carlos Paz,2,3189
194,1190,Calle 5319,Santa Fe,3,6824
195,1191,Calle 2896,Villa Carlos Paz,2,7258
196,1192,Calle 9902,Rafaela,3,4614
197,1193,Calle 6480,Mar del Plata,1,8109
198,1194,Calle 1536,La Plata,1,4031
199,1195,Calle 2956,La Plata,1,6081
200,1196,Calle 9959,Santa Fe,3,2180
201,1197,Calle 6595,Mar del Plata,1,1193
202,1198,Calle 1803,CABA,1,3165
203,1199,Calle 2337,Santa Fe,3,1153
204,1200,Calle 1393,La Plata,1,8279
205,1201,Calle 2532,La Plata,1,9906
206,1202,Calle 1685,CABA,1,9381
207,1203,Calle 394,CABA,1,3414
208,1204,Calle 6304,Córdoba,2,9057
209,1205,Calle 1667,Mendoza,4,6467
210,1206,Calle 711,CABA,1,8022
211,1207,Calle 6968,CABA,1,5702
212,1208,Calle 8180,Santa Fe,3,2251
213,1209,Calle 2402,Rosario,3,8318
214,1210,Calle 9468,Rosario,3,3370
215,1211,Calle 2980,CABA,1,9097
216,1212,Calle 9859,La Plata,1,5028
217,1213,Calle 8827,La Plata,1,7301
218,1214,Calle 8634,Villa Carlos Paz,2,2429
219,1215,Calle 282,CABA,1,3188
220,1216,Calle 5913,La Plata,1,3361
221,1217,Calle 3974,Godoy Cruz,4,3257
222,1218,Calle 2345,San Rafael,4,7958
223,1219,Calle 9530,CABA,1,1494
224,1220,Calle 4015,CABA,1,3452
225,1221,Calle 8642,CABA,1,7742
226,1222,Calle 217,Mar del Plata,1,1983
227,1223,Calle 8246,Córdoba,2,7940
228,1224,Calle 9373,Villa Carlos Paz,2,7941
229,1225,Calle 8545,CABA,1,7560
230,1226,Calle 9164,CABA,1,8821
231,1227,Calle 6234,Villa Carlos Paz,2,7950
232,1228,Calle 1275,CABA,1,1459
233,1229,Calle 1745,Mar del Plata,1,6064
234,1230,Calle 531,Río Cuarto,2,1735
235,1231,Calle 749,Godoy Cruz,4,6056
236,1232,Calle 6524,Godoy Cruz,4,7400
237,1233,Calle 1596,San Rafael,4,9227
238,1234,Calle 7815,La Plata,1,3641
239,1235,Calle 1529,Córdoba,2,3307
240,1236,Calle 8460,San Rafael,4,8331
241,1237,Calle 7060,La Plata,1,4917
242,1238,Calle 1229,San Rafael,4,2595
243,1239,Calle 8965,La Plata,1,8451
244,1240,Calle 2646,La Plata,1,6789
245,1241,Calle 7549,Mar del Plata,1,8242
246,1242,Calle 8000,San Rafael,4,7568
247,1243,Calle 2114,Rafaela,3,7122
248,1244,Calle 7375,Río Cuarto,2,1934
249,1245,Calle 131,Río Cuarto,2,7157
250,1246,Calle 3655,Córdoba,2,6716
251,1247,Calle 7617,Mar del Plata,1,2775
252,1248,Calle 6579,Rosario,3,6610
253,1249,Calle 7803,Mar del Plata,1,1627
254,1250,Calle 2385,La Plata,1,1513
255,1251,Calle 7047,La Plata,1,4465
256,1252,Calle 6930,San Rafael,4,2369
257,1253,Calle 1339,La Plata,1,7876
258,1254,Calle 3016,La Plata,1,6603
259,1255,Calle 6867,La Plata,1,8156
260,1256,Calle 6376,San Rafael,4,2274
261,1257,Calle 5186,Mar del Plata,1,3416
262,1258,Calle 6659,Rosario,3,8381
263,1259,Calle 9477,Río Cuarto,2,4074
264,1260,Calle 9846,Córdoba,2,4436
265,1261,Calle 236,San Rafael,4,5947
266,1262,Calle 8178,CABA,1,7723
267,1263,Calle 6978,Mar del Plata,1,3880
268,1264,Calle 9057,CABA,1,7251
269,1265,Calle 7168,Rafaela,3,2435
270,1266,Calle 6739,CABA,1,8276
271,1267,Calle 4750,Córdoba,2,8448
272,1268,Calle 7694,CABA,1,7765
273,1269,Calle 3669,La Plata,1,5333
274,1270,Calle 3958,Santa Fe,3,1254
275,1271,Calle 8503,La Plata,1,6490
276,1272,Calle 3963,Godoy Cruz,4,7444
277,1273,Calle 7031,Rafaela,3,3846
278,1274,Calle 2596,San Rafael,4,3069
279,1275,Calle 6423,Mar del Plata,1,6282
280,1276,Calle 7167,CABA,1,1455
281,1277,Calle 9369,Mendoza,4,8433
282,1278,Calle 3634,Mar del Plata,1,7194
283,1279,Calle 1360,Villa Carlos Paz,2,2694
284,1280,Calle 2011,Mar del Plata,1,5292
285,1281,Calle 5922,La Plata,1,9045
286,1282,Calle 1251,La Plata,1,7148
287,1283,Calle 2640,Villa Carlos Paz,2,3927
288,1284,Calle 5682,La Plata,1,3595
289,1285,Calle 3160,Córdoba,2,9486
290,1286,Calle 5979,Rosario,3,6366
291,1287,Calle 2074,Mar del Plata,1,4264
292,1288,Calle 4823,Mar del Plata,1,8144
293,1289,Calle 4098,Mendoza,4,7436
294,1290,Calle 5106,Río Cuarto,2,8101
295,1291,Calle 4452,Mar del Plata,1,7275
296,1292,Calle 6127,La Plata,1,3740
297,1293,Calle 9616,Godoy Cruz,4,7525
298,1294,Calle 7036,La Plata,1,2190
299,1295,Calle 2377,Villa Carlos Paz,2,6219
300,1296,Calle 7625,Córdoba,2,2085
301,1297,Calle 8639,CABA,1,2225
302,1298,Calle 5207,Villa Carlos Paz,2,1813
303,1299,Calle 6902,La Plata,1,3803
304,1300,Calle 9444,Córdoba,2,1076
305,1301,Calle 607,La Plata,1,6527
306,1302,Calle 6801,CABA,1,6196
307,1303,Calle 5132,Mar del Plata,1,7444
308,1304,Calle 8083,Villa Carlos Paz,2,2683
309,1305,Calle 2274,CABA,1,4708
310,1306,Calle 6044,Mar del Plata,1,5254
311,1307,Calle 1230,La Plata,1,5422
312,1308,Calle 7549,San Rafael,4,3424
313,1309,Calle 2005,Río Cuarto,2,8830
314,1310,Calle 7909,Godoy Cruz,4,5853
315,1311,Calle 3374,CABA,1,9103
316,1312,Calle 3542,Mar del Plata,1,8989
317,1313,Calle 8645,Mar del Plata,1,8438
318,1314,Calle 2131,Rosario,3,8412
319,1315,Calle 3080,La Plata,1,3690
320,1316,Calle 1673,San Rafael,4,2805
321,1317,Calle 3065,La Plata,1,9698
322,1318,Calle 9017,CABA,1,4474
323,1319,Calle 8322,La Plata,1,5466
324,1320,Calle 6268,Mar del Plata,1,5816
325,1321,Calle 4521,Mar del Plata,1,9497
326,1322,Calle 4079,CABA,1,1870
327,1323,Calle 1079,Córdoba,2,4710
328,1324,Calle 3603,CABA,1,9112
329,1325,Calle 5696,CABA,1,1050
330,1326,Calle 7812,Mar del Plata,1,3789
331,1327,Calle 3070,Córdoba,2,1208
332,1328,Calle 2909,CABA,1,1159
333,1329,Calle 17,San Rafael,4,2792
334,1330,Calle 4763,Rafaela,3,3401
335,1331,Calle 5500,Mar del Plata,1,9940
336,1332,Calle 5969,Villa Carlos Paz,2,5933
337,1333,Calle 9761,Rafaela,3,9508
338,1334,Calle 3609,La Plata,1,9156
339,1335,Calle 7057,Mar del Plata,1,4175
340,1336,Calle 8928,Villa Carlos Paz,2,5346
341,1337,Calle 9653,Santa Fe,3,4122
342,1338,Calle 5625,Río Cuarto,2,8455
343,1339,Calle 8175,CABA,1,3461
344,1340,Calle 9145,San Rafael,4,8976
345,1341,Calle 256,La Plata,1,5636
346,1342,Calle 84,La Plata,1,1817
347,1343,Calle 8225,La Plata,1,2409
348,1344,Calle 3224,Mar del Plata,1,5764
349,1345,Calle 4076,La Plata,1,7923
350,1346,Calle 4281,Mendoza,4,3839
351,1347,Calle 9473,La Plata,1,5096
352,1348,Calle 4933,CABA,1,8555
353,1349,Calle 1574,La Plata,1,6132
354,1350,Calle 5859,San Rafael,4,8643
355,1351,Calle 454,Godoy Cruz,4,2448
356,1352,Calle 3976,Villa Carlos Paz,2,3085
357,1353,Calle 878,Santa Fe,3,1097
358,1354,Calle 7541,Rafaela,3,5426
359,1355,Calle 4761,CABA,1,1997
360,1356,Calle 8370,Río Cuarto,2,4359
361,1357,Calle 8116,Mar del Plata,1,5929
362,1358,Calle 7946,Córdoba,2,2879
363,1359,Calle 1984,Mar del Plata,1,4347
364,1360,Calle 7272,Mar del Plata,1,5913
365,1361,Calle 3850,CABA,1,3018
366,1362,Calle 3028,CABA,1,3797
367,1363,Calle 3283,Río Cuarto,2,5742
368,1364,Calle 6019,Godoy Cruz,4,7321
369,1365,Calle 2428,La Plata,1,2968
370,1366,Calle 4961,Mar del Plata,1,1698
371,1367,Calle 7510,Godoy Cruz,4,6861
372,1368,Calle 3454,Rafaela,3,9405
373,1369,Calle 5765,CABA,1,8528
374,1370,Calle 4964,Mar del Plata,1,7168
375,1371,Calle 9438,Córdoba,2,3120
376,1372,Calle 5704,Río Cuarto,2,2107
377,1373,Calle 2608,Mar del Plata,1,9182
378,1374,Calle 3877,CABA,1,7882
379,1375,Calle 1876,La Plata,1,8234
380,1376,Calle 2852,Córdoba,2,7187
381,1377,Calle 9118,San Rafael,4,9046
382,1378,Calle 3297,Córdoba,2,9659
383,1379,Calle 1577,CABA,1,1085
384,1380,Calle 8956,Rafaela,3,9653
385,1381,Calle 9345,CABA,1,6840
386,1382,Calle 7191,Rosario,3,2161
387,1383,Calle 4887,Mar del Plata,1,4777
388,1384,Calle 370,Villa Carlos Paz,2,7396
389,1385,Calle 4720,CABA,1,9482
390,1386,Calle 929,Mar del Plata,1,8716
391,1387,Calle 5539,Córdoba,2,6481
392,1388,Calle 5401,Mar del Plata,1,9086
393,1389,Calle 9995,Rafaela,3,2159
394,1390,Calle 1321,Río Cuarto,2,5432
395,1391,Calle 8317,La Plata,1,8069
396,1392,Calle 352,CABA,1,9752
397,1393,Calle 297,Río Cuarto,2,7342
398,1394,Calle 6994,Villa Carlos Paz,2,8175
399,1395,Calle 5764,Santa Fe,3,1949
400,1396,Calle 165,Mar del Plata,1,1244
401,1397,Calle 929,Rosario,3,5630
402,1398,Calle 4002,Mar del Plata,1,8843
403,1399,Calle 4100,Córdoba,2,6848
404,1400,Calle 6012,La Plata,1,9631
405,1401,Calle 8249,Mar del Plata,1,7731
406,1402,Calle 2247,CABA,1,4453
407,1403,Calle 588,CABA,1,8434
408,1404,Calle 4429,CABA,1,5921
409,1405,Calle 6291,Mar del Plata,1,7302
410,1406,Calle 6215,CABA,1,9724
411,1407,Calle 8873,Córdoba,2,5301
412,1408,Calle 7112,Santa Fe,3,2789
413,1409,Calle 4710,Mar del Plata,1,9501
414,1410,Calle 7657,La Plata,1,1248
415,1411,Calle 1402,Santa Fe,3,6530
416,1412,Calle 5927,La Plata,1,1202
417,1413,Calle 5260,Mar del Plata,1,8581
418,1414,Calle 607,La Plata,1,7694
419,1415,Calle 4530,Córdoba,2,2049
420,1416,Calle 4253,La Plata,1,3858
421,1417,Calle 813,Rafaela,3,4018
422,1418,Calle 5200,Rafaela,3,1996
423,1419,Calle 5790,Mendoza,4,4845
424,1420,Calle 7272,Mar del Plata,1,4882
425,1421,Calle 6816,La Plata,1,5638
426,1422,Calle 5903,Mar del Plata,1,8711
427,1423,Calle 6035,Córdoba,2,1418
428,1424,Calle 8369,Villa Carlos Paz,2,4520
429,1425,Calle 2459,Rosario,3,2266
430,1426,Calle 8983,Río Cuarto,2,9646
431,1427,Calle 8593,Río Cuarto,2,5410
432,1428,Calle 3999,Santa Fe,3,4782
433,1429,Calle 3950,CABA,1,6929
434,1430,Calle 1253,Mar del Plata,1,4774
435,1431,Calle 9329,Rosario,3,7678
436,1432,Calle 5597,Villa Carlos Paz,2,7692
437,1433,Calle 9438,CABA,1,3947
438,1434,Calle 6859,CABA,1,2654
439,1435,Calle 393,Santa Fe,3,3168
440,1436,Calle 6920,Santa Fe,3,4955
441,1437,Calle 9691,La Plata,1,1741
442,1438,Calle 7355,Villa Carlos Paz,2,8138
443,1439,Calle 2206,Rafaela,3,3494
444,1440,Calle 7431,Villa Carlos Paz,2,3895
445,1441,Calle 1588,Villa Carlos Paz,2,6588
446,1442,Calle 9500,Río Cuarto,2,6288
447,1443,Calle 2347,CABA,1,8053
448,1444,Calle 5151,Mar del Plata,1,3713
449,1445,Calle 7192,La Plata,1,5250
450,1446,Calle 4566,San Rafael,4,9334
451,1447,Calle 8845,CABA,1,9001
452,1448,Calle 9358,La Plata,1,9534
453,1449,Calle 1796,Santa Fe,3,8281
454,1450,Calle 2242,CABA,1,6795
455,1451,Calle 1219,Córdoba,2,5523
456,1452,Calle 1214,Río Cuarto,2,1628
457,1453,Calle 8541,Mar del Plata,1,1130
458,1454,Calle 3608,La Plata,1,8702
459,1455,Calle 8139,CABA,1,2453
460,1456,Calle 3510,Rafaela,3,9039
461,1457,Calle 2919,Río Cuarto,2,7230
462,1458,Calle 8692,Villa Carlos Paz,2,4799
463,1459,Calle 6426,Villa Carlos Paz,2,5840
464,1460,Calle 6875,La Plata,1,7960
465,1461,Calle 1861,La Plata,1,3098
466,1462,Calle 9848,Santa Fe,3,1474
467,1463,Calle 6702,CABA,1,5286
468,1464,Calle 6967,La Plata,1,5396
469,1465,Calle 748,Villa Carlos Paz,2,4625
470,1466,Calle 1808,Mar del Plata,1,3117
471,1467,Calle 346,Mar del Plata,1,6778
472,1468,Calle 8498,CABA,1,3572
473,1469,Calle 3758,Mar del Plata,1,6431
474,1470,Calle 4075,Mar del Plata,1,9627
475,1471,Calle 693,La Plata,1,1397
476,1472,Calle 4052,Río Cuarto,2,7190
477,1473,Calle 4424,Mar del Plata,1,9265
478,1474,Calle 8876,Mar del Plata,1,7408
479,1475,Calle 5304,Santa Fe,3,5950
480,1476,Calle 4330,CABA,1,7169
481,1477,Calle 6658,CABA,1,5659
482,1478,Calle 283,La Plata,1,7106
483,1479,Calle 3672,Villa Carlos Paz,2,4802
484,1480,Calle 1786,Mar del Plata,1,3355
485,1481,Calle 3403,CABA,1,2374
486,1482,Calle 8576,La Plata,1,1965
487,1483,Calle 5536,La Plata,1,7660
488,1484,Calle 9215,CABA,1,6128
489,1485,Calle 7914,Mar del Plata,1,2721
490,1486,Calle 2086,Villa Carlos Paz,2,3722
491,1487,Calle 640,CABA,1,9594
492,1488,Calle 6851,Mar del Plata,1,2926
493,1489,Calle 4442,San Rafael,4,3718
494,1490,Calle 3350,Mar del Plata,1,9509
495,1491,Calle 5410,CABA,1,3690
496,1492,Calle 161,Villa Carlos Paz,2,3463
497,1493,Calle 5110,CABA,1,2537
498,1494,Calle 1002,CABA,1,2093
499,1495,Calle 5652,Córdoba,2,5498
500,1496,Calle 9576,Santa Fe,3,7607
501,1497,Calle 3320,Río Cuarto,2,2687
502,1498,Calle 9236,La Plata,1,6409
503,1499,Calle 7757,San Rafael,4,4798
504,1500,Calle 2401,Mar del Plata,1,1004
505,1501,Calle 2245,CABA,1,8728
506,1502,Calle 3945,CABA,1,7316
507,1503,Calle 5194,Mar del Plata,1,3721
508,1504,Calle 9184,Villa Carlos Paz,2,2970
509,1505,Calle 5705,Rafaela,3,8636
510,1506,Calle 9172,Córdoba,2,3932
511,1507,Calle 8619,La Plata,1,6381
512,1508,Calle 8238,Godoy Cruz,4,1549
513,1509,Calle 720,Villa Carlos Paz,2,5492
514,1510,Calle 7714,Mendoza,4,9033
515,1511,Calle 8939,Mar del Plata,1,1472
516,1512,Calle 2157,Córdoba,2,1918
517,1513,Calle 5149,Córdoba,2,4181
518,1514,Calle 5186,Mar del Plata,1,9459
519,1515,Calle 6822,Godoy Cruz,4,2064
520,1516,Calle 2417,Rafaela,3,3827
521,1517,Calle 3256,Mar del Plata,1,3833
522,1518,Calle 5746,Mar del Plata,1,2410
523,1519,Calle 2991,CABA,1,6201
524,1520,Calle 3564,Rosario,3,2331
525,1521,Calle 3131,Mar del Plata,1,6087
526,1522,Calle 2917,La Plata,1,7782
527,1523,Calle 3265,Santa Fe,3,8202
528,1524,Calle 9482,La Plata,1,3793
529,1525,Calle 6319,San Rafael,4,8108
530,1526,Calle 4730,Río Cuarto,2,2486
531,1527,Calle 3576,Santa Fe,3,2889
532,1528,Calle 7786,Córdoba,2,7099
533,1529,Calle 555,Mar del Plata,1,6879
534,1530,Calle 5484,La Plata,1,4065
535,1531,Calle 8959,La Plata,1,8478
536,1532,Calle 3991,Villa Carlos Paz,2,6535
537,1533,Calle 658,Villa Carlos Paz,2,7897
538,1534,Calle 6566,Rafaela,3,9391
539,1535,Calle 8587,San Rafael,4,3128
540,1536,Calle 1482,Rosario,3,8515
541,1537,Calle 2417,CABA,1,6038
542,1538,Calle 7153,CABA,1,3525
543,1539,Calle 82,Santa Fe,3,2636
544,1540,Calle 3482,La Plata,1,8593
545,1541,Calle 6351,Rosario,3,7551
546,1542,Calle 6957,Rafaela,3,6683
547,1543,Calle 441,Río Cuarto,2,4852
548,1544,Calle 27,Mar del Plata,1,2265
549,1545,Calle 725,CABA,1,2521
550,1546,Calle 6975,CABA,1,7337
551,1547,Calle 2942,La Plata,1,8617
552,1548,Calle 1662,Mar del Plata,1,3635
553,1549,Calle 6292,Mar del Plata,1,8964
554,1550,Calle 4964,CABA,1,8377
555,1551,Calle 5490,La Plata,1,3930
556,1552,Calle 1311,La Plata,1,5224
557,1553,Calle 7455,Mar del Plata,1,5615
558,1554,Calle 7541,La Plata,1,5134
559,1555,Calle 386,La Plata,1,5804
560,1556,Calle 5319,La Plata,1,2829
561,1557,Calle 6492,Río Cuarto,2,9765
562,1558,Calle 8085,CABA,1,8504
563,1559,Calle 8578,San Rafael,4,2253
564,1560,Calle 9984,CABA,1,7257
565,1561,Calle 5535,Mendoza,4,7922
566,1562,Calle 4209,Mar del Plata,1,8101
567,1563,Calle 4276,Rafaela,3,1800
568,1564,Calle 7159,Córdoba,2,5535
569,1565,Calle 6532,Río Cuarto,2,5467
570,1566,Calle 6789,CABA,1,5375
571,1567,Calle 5213,Río Cuarto,2,1296
572,1568,Calle 4716,Mar del Plata,1,7893
573,1569,Calle 9137,La Plata,1,6237
574,1570,Calle 7569,Rosario,3,9720
575,1571,Calle 6602,Villa Carlos Paz,2,8971
576,1572,Calle 3401,Mendoza,4,5981
577,1573,Calle 7658,Santa Fe,3,6761
578,1574,Calle 4652,CABA,1,4845
579,1575,Calle 6201,Mendoza,4,7483
580,1576,Calle 9352,CABA,1,7571
581,1577,Calle 6852,CABA,1,6950
582,1578,Calle 5207,Río Cuarto,2,4688
583,1579,Calle 4691,La Plata,1,7554
584,1580,Calle 7603,La Plata,1,7280
585,1581,Calle 3095,Godoy Cruz,4,3270
586,1582,Calle 9349,San Rafael,4,6325
587,1583,Calle 7732,Mar del Plata,1,1372
588,1584,Calle 2645,Córdoba,2,3870
589,1585,Calle 5288,Mendoza,4,1506
590,1586,Calle 4015,Villa Carlos Paz,2,4963
591,1587,Calle 1822,San Rafael,4,5011
592,1588,Calle 113,Córdoba,2,9515
593,1589,Calle 6834,Rosario,3,9751
594,1590,Calle 980,Mar del Plata,1,6953
595,1591,Calle 7210,Río Cuarto,2,3391
