shipment_sk,shipment_id,id_order,carrier,status,tracking_number,id_date_shipped,shipped_at,id_date_delivered,delivered_at
23,9000000022,1000000022,PICKUP,DELIVERED,,20240331.0,2024-03-31 02:16:34,20240401.0,2024-04-01 02:16:34
24,9000000023,1000000023,PICKUP,DELIVERED,,20250705.0,2025-07-05 19:42:57,20250706.0,2025-07-06 19:42:57
25,9000000024,1000000024,PICKUP,DELIVERED,,20250302.0,2025-03-02 15:57:05,20250303.0,2025-03-03 15:57:05
26,9000000025,1000000025,Correo Argentino,DELIVERED,TRK-YJMLEQMJ1S,20250827.0,2025-08-27 06:57:45,20250831.0,2025-08-31 06:57:45
27,9000000026,1000000026,Correo Argentino,DELIVERED,TRK-IWZB9131BN,20241213.0,2024-12-13 23:59:48,20241216.0,2024-12-16 23:59:48
28,9000000027,1000000027,Correo Argentino,DELIVERED,TRK-F7ZF8SQ633,20241203.0,2024-12-03 01:44:59,20241206.0,2024-12-06 01:44:59
29,9000000028,1000000028,Correo Argentino,DELIVERED,TRK-NW8EX6WAQP,20240518.0,2024-05-18 06:11:07,20240522.0,2024-05-22 06:11:07
30,9000000029,1000000029,Correo Argentino,DELIVERED,TRK-SNH0E9H2BV,20250915.0,2025-09-15 02:43:49,20250920.0,2025-09-20 02:43:49
31,9000000030,1000000030,PICKUP,SHIPPED,,20250609.0,2025-06-09 19:02:55,20250610.0,2025-06-10 19:02:55
32,9000000031,1000000031,PICKUP,SHIPPED,,20250510.0,2025-05-10 11:15:07,20250511.0,2025-05-11 11:15:07
33,9000000032,1000000032,Correo Argentino,DELIVERED,TRK-AF3QHYH0G0,20250316.0,2025-03-16 14:37:22,20250318.0,2025-03-18 14:37:22
34,9000000033,1000000033,PICKUP,DELIVERED,,20240608.0,2024-06-08 03:23:04,20240609.0,2024-06-09 03:23:04
35,9000000034,1000000034,PICKUP,DELIVERED,,20241117.0,2024-11-17 01:24:31,20241118.0,2024-11-18 01:24:31
36,9000000035,1000000035,PICKUP,DELIVERED,,20240112.0,2024-01-12 05:54:27,20240113.0,2024-01-13 05:54:27
37,9000000036,1000000036,Correo Argentino,DELIVERED,TRK-JI1IJOL9GD,20240925.0,2024-09-25 18:59:17,20240928.0,2024-09-28 18:59:17
38,9000000037,1000000037,Correo Argentino,DELIVERED,TRK-B103OLM2ZZ,20240127.0,2024-01-27 00:07:55,20240131.0,2024-01-31 00:07:55
39,9000000038,1000000038,PICKUP,DELIVERED,,20240202.0,2024-02-02 22:29:21,20240203.0,2024-02-03 22:29:21
40,9000000039,1000000039,PICKUP,DELIVERED,,20240523.0,2024-05-23 04:42:33,20240524.0,2024-05-24 04:42:33
41,9000000040,1000000040,Correo Argentino,CANCELLED,,,,,
42,9000000041,1000000041,PICKUP,DELIVERED,,20240114.0,2024-01-14 09:59:03,20240115.0,2024-01-15 09:59:03
43,9000000042,1000000042,Correo Argentino,DELIVERED,TRK-T6YEYXIY47,20240928.0,2024-09-28 21:17:36,20240930.0,2024-09-30 21:17:36
44,9000000043,1000000043,Correo Argentino,SHIPPED,TRK-4BKBFC142A,20240522.0,2024-05-22 10:46:11,20240527.0,2024-05-27 10:46:11
45,9000000044,1000000044,Correo Argentino,DELIVERED,TRK-OE8JOVHWT3,20250903.0,2025-09-03 12:32:15,20250905.0,2025-09-05 12:32:15
46,9000000045,1000000045,Correo Argentino,DELIVERED,TRK-78RSWE9YNS,20240202.0,2024-02-02 13:14:28,20240207.0,2024-02-07 13:14:28
47,9000000046,1000000046,Correo Argentino,DELIVERED,TRK-ENFRRYBCN7,20240113.0,2024-01-13 03:01:18,20240117.0,2024-01-17 03:01:18
48,9000000047,1000000047,PICKUP,DELIVERED,,20240308.0,2024-03-08 08:53:37,20240309.0,2024-03-09 08:53:37
49,9000000048,1000000048,PICKUP,READY,,20240913.0,2024-09-13 16:10:57,20240914.0,2024-09-14 16:10:57
50,9000000049,1000000049,PICKUP,DELIVERED,,20240811.0,2024-08-11 19:35:54,20240812.0,2024-08-12 19:35:54
51,9000000050,1000000050,Correo Argentino,DELIVERED,TRK-2UFL9MQ11P,20240726.0,2024-07-26 00:25:00,20240730.0,2024-07-30 00:25:00
52,9000000051,1000000051,Correo Argentino,DELIVERED,TRK-TL9JNTSSQA,20240916.0,2024-09-16 06:10:33,20240919.0,2024-09-19 06:10:33
53,9000000052,1000000052,Correo Argentino,DELIVERED,TRK-RK6C2JA3AN,20241105.0,2024-11-05 03:12:44,20241107.0,2024-11-07 03:12:44
54,9000000053,1000000053,Correo Argentino,CANCELLED,,,,,
55,9000000054,1000000054,PICKUP,SHIPPED,,20240316.0,2024-03-16 02:19:59,20240317.0,2024-03-17 02:19:59
56,9000000055,1000000055,PICKUP,SHIPPED,,20250723.0,2025-07-23 20:26:45,20250724.0,2025-07-24 20:26:45
57,9000000056,1000000056,Correo Argentino,DELIVERED,TRK-F94E82XEU7,20250413.0,2025-04-13 15:37:15,20250416.0,2025-04-16 15:37:15
58,9000000057,1000000057,PICKUP,DELIVERED,,20250221.0,2025-02-21 05:51:12,20250222.0,2025-02-22 05:51:12
59,9000000058,1000000058,Correo Argentino,CANCELLED,,,,,
60,9000000059,1000000059,Correo Argentino,DELIVERED,TRK-GYMRRQSRNH,20240702.0,2024-07-02 13:26:37,20240707.0,2024-07-07 13:26:37
61,9000000060,1000000060,PICKUP,CANCELLED,,,,,
62,9000000061,1000000061,Correo Argentino,DELIVERED,TRK-1JVAA08D71,20250302.0,2025-03-02 10:20:56,20250305.0,2025-03-05 10:20:56
63,9000000062,1000000062,PICKUP,DELIVERED,,20241223.0,2024-12-23 12:02:28,20241224.0,2024-12-24 12:02:28
64,9000000063,1000000063,Correo Argentino,DELIVERED,TRK-4QRWG4O3VS,20240531.0,2024-05-31 10:17:58,20240602.0,2024-06-02 10:17:58
65,9000000064,1000000064,Correo Argentino,DELIVERED,TRK-GHR4X51MO5,20250305.0,2025-03-05 14:45:27,20250307.0,2025-03-07 14:45:27
66,9000000065,1000000065,Correo Argentino,DELIVERED,TRK-Y0WLIWLAP3,20240918.0,2024-09-18 00:43:41,20240922.0,2024-09-22 00:43:41
67,9000000066,1000000066,Correo Argentino,CANCELLED,,,,,
68,9000000067,1000000067,Correo Argentino,DELIVERED,TRK-WPHKOKPY98,20250412.0,2025-04-12 16:23:15,20250417.0,2025-04-17 16:23:15
69,9000000068,1000000068,Correo Argentino,SHIPPED,TRK-95ADJ6QXJ8,20241202.0,2024-12-02 10:53:38,20241205.0,2024-12-05 10:53:38
70,9000000069,1000000069,Correo Argentino,DELIVERED,TRK-75UERJVV88,20240613.0,2024-06-13 09:38:45,20240618.0,2024-06-18 09:38:45
71,9000000070,1000000070,Correo Argentino,SHIPPED,TRK-SHAJ4MH7LK,20250726.0,2025-07-26 23:51:05,20250730.0,2025-07-30 23:51:05
72,9000000071,1000000071,PICKUP,DELIVERED,,20240722.0,2024-07-22 18:00:06,20240723.0,2024-07-23 18:00:06
73,9000000072,1000000072,Correo Argentino,SHIPPED,TRK-NH83FI4OJA,20240203.0,2024-02-03 08:20:17,20240208.0,2024-02-08 08:20:17
74,9000000073,1000000073,Correo Argentino,SHIPPED,TRK-3BTEYU6C8K,20241208.0,2024-12-08 21:18:19,20241211.0,2024-12-11 21:18:19
75,9000000074,1000000074,Correo Argentino,DELIVERED,TRK-NQPTS0MMBB,20241215.0,2024-12-15 04:41:02,20241221.0,2024-12-21 04:41:02
76,9000000075,1000000075,Correo Argentino,DELIVERED,TRK-A7O7MMZ1H4,20250323.0,2025-03-23 18:16:20,20250327.0,2025-03-27 18:16:20
77,9000000076,1000000076,Correo Argentino,DELIVERED,TRK-Z56VK3U0QJ,20240302.0,2024-03-02 10:21:11,20240304.0,2024-03-04 10:21:11
78,9000000077,1000000077,PICKUP,SHIPPED,,20241204.0,2024-12-04 22:39:17,20241205.0,2024-12-05 22:39:17
79,9000000078,1000000078,Correo Argentino,DELIVERED,TRK-N8XZ4OSU2M,20250110.0,2025-01-10 21:43:22,20250113.0,2025-01-13 21:43:22
80,9000000079,1000000079,Correo Argentino,SHIPPED,TRK-XADN2TVDNH,20250917.0,2025-09-17 02:56:19,20250921.0,2025-09-21 02:56:19
81,9000000080,1000000080,Correo Argentino,DELIVERED,TRK-S1OQO0J4EA,20241112.0,2024-11-12 06:28:22,20241117.0,2024-11-17 06:28:22
82,9000000081,1000000081,Correo Argentino,DELIVERED,TRK-LSXL8NV9UZ,20250203.0,2025-02-03 01:45:35,20250206.0,2025-02-06 01:45:35
83,9000000082,1000000082,Correo Argentino,DELIVERED,TRK-4U2I1W5ENR,20250922.0,2025-09-22 10:27:35,20250925.0,2025-09-25 10:27:35
84,9000000083,1000000083,Correo Argentino,DELIVERED,TRK-3QNYBMC06W,20240211.0,2024-02-11 17:47:09,20240215.0,2024-02-15 17:47:09
85,9000000084,1000000084,Correo Argentino,SHIPPED,TRK-LWD8M7AMND,20241126.0,2024-11-26 14:26:24,20241129.0,2024-11-29 14:26:24
86,9000000085,1000000085,Correo Argentino,DELIVERED,TRK-0RBFVTM6X4,20250302.0,2025-03-02 02:58:24,20250304.0,2025-03-04 02:58:24
87,9000000086,1000000086,Correo Argentino,DELIVERED,TRK-A169DTQM73,20250819.0,2025-08-19 10:52:28,20250821.0,2025-08-21 10:52:28
88,9000000087,1000000087,Correo Argentino,CANCELLED,,,,,
89,9000000088,1000000088,Correo Argentino,DELIVERED,TRK-TBUL818CS4,20240204.0,2024-02-04 13:58:21,20240209.0,2024-02-09 13:58:21
90,9000000089,1000000089,Correo Argentino,DELIVERED,TRK-BJOJ02WY0U,20250619.0,2025-06-19 12:09:30,20250622.0,2025-06-22 12:09:30
91,9000000090,1000000090,Correo Argentino,DELIVERED,TRK-E1JQQXF2A8,20240128.0,2024-01-28 19:31:23,20240201.0,2024-02-01 19:31:23
92,9000000091,1000000091,Correo Argentino,DELIVERED,TRK-9YZ6V1VTIX,20240218.0,2024-02-18 18:12:47,20240220.0,2024-02-20 18:12:47
93,9000000092,1000000092,Correo Argentino,DELIVERED,TRK-UO5Q5LF7GD,20240614.0,2024-06-14 13:46:23,20240616.0,2024-06-16 13:46:23
94,9000000093,1000000093,PICKUP,DELIVERED,,20241114.0,2024-11-14 23:26:31,20241115.0,2024-11-15 23:26:31
95,9000000094,1000000094,PICKUP,SHIPPED,,20241227.0,2024-12-27 03:05:36,20241228.0,2024-12-28 03:05:36
96,9000000095,1000000095,Correo Argentino,DELIVERED,TRK-RRS7KQI5WW,20250926.0,2025-09-26 18:29:43,20250930.0,2025-09-30 18:29:43
97,9000000096,1000000096,PICKUP,DELIVERED,,20250523.0,2025-05-23 10:43:41,20250524.0,2025-05-24 10:43:41
98,9000000097,1000000097,PICKUP,DELIVERED,,20240612.0,2024-06-12 17:56:54,20240613.0,2024-06-13 17:56:54
99,9000000098,1000000098,Correo Argentino,DELIVERED,TRK-N1XL8YRR4C,20250117.0,2025-01-17 08:09:07,20250122.0,2025-01-22 08:09:07
100,9000000099,1000000099,Correo Argentino,DELIVERED,TRK-HUON3QASLA,20240228.0,2024-02-28 14:31:08,20240303.0,2024-03-03 14:31:08
101,9000000100,1000000100,Correo Argentino,CANCELLED,,,,,
102,9000000101,1000000101,Correo Argentino,SHIPPED,TRK-BD9O45FG3M,20240331.0,2024-03-31 02:45:40,20240405.0,2024-04-05 02:45:40
103,9000000102,1000000102,Correo Argentino,DELIVERED,TRK-RBXP2IU4CP,20241120.0,2024-11-20 07:00:43,20241124.0,2024-11-24 07:00:43
104,9000000103,1000000103,PICKUP,READY,,20240325.0,2024-03-25 03:53:52,20240326.0,2024-03-26 03:53:52
105,9000000104,1000000104,Correo Argentino,DELIVERED,TRK-TPWY0TUZG2,20240324.0,2024-03-24 20:55:17,20240328.0,2024-03-28 20:55:17
106,9000000105,1000000105,Correo Argentino,DELIVERED,TRK-3BQ6FWSKLW,20240513.0,2024-05-13 04:27:32,20240516.0,2024-05-16 04:27:32
107,9000000106,1000000106,Correo Argentino,DELIVERED,TRK-6DCLEDO515,20250209.0,2025-02-09 08:09:53,20250211.0,2025-02-11 08:09:53
108,9000000107,1000000107,Correo Argentino,DELIVERED,TRK-RB1W0XWXVT,20240523.0,2024-05-23 03:56:26,20240528.0,2024-05-28 03:56:26
109,9000000108,1000000108,PICKUP,DELIVERED,,20250704.0,2025-07-04 04:11:46,20250705.0,2025-07-05 04:11:46
110,9000000109,1000000109,PICKUP,DELIVERED,,20240422.0,2024-04-22 08:18:05,20240423.0,2024-04-23 08:18:05
111,9000000110,1000000110,PICKUP,CANCELLED,,,,,
112,9000000111,1000000111,Correo Argentino,DELIVERED,TRK-UXV2O2QSZO,20241221.0,2024-12-21 15:47:41,20241225.0,2024-12-25 15:47:41
113,9000000112,1000000112,PICKUP,SHIPPED,,20250228.0,2025-02-28 17:43:31,20250301.0,2025-03-01 17:43:31
114,9000000113,1000000113,PICKUP,CANCELLED,,,,,
115,9000000114,1000000114,PICKUP,SHIPPED,,20240917.0,2024-09-17 08:06:28,20240918.0,2024-09-18 08:06:28
116,9000000115,1000000115,Correo Argentino,DELIVERED,TRK-9SFI30M85Y,20240220.0,2024-02-20 00:47:44,20240222.0,2024-02-22 00:47:44
117,9000000116,1000000116,Correo Argentino,DELIVERED,TRK-GCUU54HEAG,20240702.0,2024-07-02 10:24:47,20240705.0,2024-07-05 10:24:47
118,9000000117,1000000117,Correo Argentino,DELIVERED,TRK-YVM19QXR2C,20250120.0,2025-01-20 22:11:52,20250123.0,2025-01-23 22:11:52
119,9000000118,1000000118,Correo Argentino,DELIVERED,TRK-JRBNVL0OS3,20250817.0,2025-08-17 15:04:32,20250819.0,2025-08-19 15:04:32
120,9000000119,1000000119,PICKUP,DELIVERED,,20250716.0,2025-07-16 11:54:38,20250717.0,2025-07-17 11:54:38
121,9000000120,1000000120,Correo Argentino,DELIVERED,TRK-YMYMMHLK1B,20240419.0,2024-04-19 21:41:14,20240421.0,2024-04-21 21:41:14
122,9000000121,1000000121,PICKUP,DELIVERED,,20241220.0,2024-12-20 05:03:44,20241221.0,2024-12-21 05:03:44
123,9000000122,1000000122,PICKUP,DELIVERED,,20250830.0,2025-08-30 14:57:49,20250831.0,2025-08-31 14:57:49
124,9000000123,1000000123,Correo Argentino,CANCELLED,,,,,
125,9000000124,1000000124,Correo Argentino,DELIVERED,TRK-OUKA4E7YCS,20240207.0,2024-02-07 12:15:32,20240211.0,2024-02-11 12:15:32
126,9000000125,1000000125,PICKUP,DELIVERED,,20240709.0,2024-07-09 08:16:06,20240710.0,2024-07-10 08:16:06
127,9000000126,1000000126,PICKUP,DELIVERED,,20240612.0,2024-06-12 02:24:10,20240613.0,2024-06-13 02:24:10
128,9000000127,1000000127,Correo Argentino,DELIVERED,TRK-LP15TFTZWC,20240229.0,2024-02-29 13:19:21,20240304.0,2024-03-04 13:19:21
129,9000000128,1000000128,Correo Argentino,CANCELLED,,,,,
130,9000000129,1000000129,Correo Argentino,DELIVERED,TRK-OTE0Q32RV2,20250918.0,2025-09-18 22:24:46,20250921.0,2025-09-21 22:24:46
131,9000000130,1000000130,PICKUP,SHIPPED,,20250521.0,2025-05-21 02:27:57,20250522.0,2025-05-22 02:27:57
132,9000000131,1000000131,PICKUP,DELIVERED,,20240125.0,2024-01-25 03:24:41,20240126.0,2024-01-26 03:24:41
133,9000000132,1000000132,Correo Argentino,DELIVERED,TRK-ZK0XF0TEFY,20240727.0,2024-07-27 17:23:51,20240801.0,2024-08-01 17:23:51
134,9000000133,1000000133,PICKUP,DELIVERED,,20240614.0,2024-06-14 15:46:34,20240615.0,2024-06-15 15:46:34
135,9000000134,1000000134,PICKUP,DELIVERED,,20240106.0,2024-01-06 02:05:46,20240107.0,2024-01-07 02:05:46
136,9000000135,1000000135,PICKUP,SHIPPED,,20240530.0,2024-05-30 07:35:31,20240531.0,2024-05-31 07:35:31
137,9000000136,1000000136,Correo Argentino,DELIVERED,TRK-SB9FYY9V3Z,20250121.0,2025-01-21 19:30:04,20250125.0,2025-01-25 19:30:04
138,9000000137,1000000137,Correo Argentino,SHIPPED,TRK-8EM2BGA7SC,20241116.0,2024-11-16 23:46:06,20241121.0,2024-11-21 23:46:06
139,9000000138,1000000138,Correo Argentino,SHIPPED,TRK-W6GIOKOQS8,20240104.0,2024-01-04 08:23:39,20240108.0,2024-01-08 08:23:39
140,9000000139,1000000139,Correo Argentino,DELIVERED,TRK-Q8P6U5PS47,20240407.0,2024-04-07 23:11:09,20240412.0,2024-04-12 23:11:09
141,9000000140,1000000140,PICKUP,DELIVERED,,20250217.0,2025-02-17 21:56:48,20250218.0,2025-02-18 21:56:48
142,9000000141,1000000141,PICKUP,DELIVERED,,20241130.0,2024-11-30 21:24:24,20241201.0,2024-12-01 21:24:24
143,9000000142,1000000142,Correo Argentino,DELIVERED,TRK-AT0A573HXB,20250626.0,2025-06-26 13:32:09,20250628.0,2025-06-28 13:32:09
144,9000000143,1000000143,PICKUP,DELIVERED,,20240606.0,2024-06-06 00:59:40,20240607.0,2024-06-07 00:59:40
145,9000000144,1000000144,PICKUP,CANCELLED,,,,,
146,9000000145,1000000145,Correo Argentino,DELIVERED,TRK-5WJ0VSGHJU,20250720.0,2025-07-20 14:47:44,20250724.0,2025-07-24 14:47:44
147,9000000146,1000000146,Correo Argentino,DELIVERED,TRK-XNALT4U6O3,20240506.0,2024-05-06 01:52:36,20240511.0,2024-05-11 01:52:36
148,9000000147,1000000147,Correo Argentino,DELIVERED,TRK-TVS9QKJFPY,20241208.0,2024-12-08 21:23:08,20241213.0,2024-12-13 21:23:08
149,9000000148,1000000148,Correo Argentino,DELIVERED,TRK-IAC72SYOJT,20250622.0,2025-06-22 18:11:01,20250625.0,2025-06-25 18:11:01
150,9000000149,1000000149,Correo Argentino,DELIVERED,TRK-86P5XH4ZUZ,20250122.0,2025-01-22 22:14:19,20250127.0,2025-01-27 22:14:19
151,9000000150,1000000150,PICKUP,DELIVERED,,20250530.0,2025-05-30 23:20:50,20250531.0,2025-05-31 23:20:50
152,9000000151,1000000151,PICKUP,DELIVERED,,20240416.0,2024-04-16 17:06:04,20240417.0,2024-04-17 17:06:04
153,9000000152,1000000152,PICKUP,DELIVERED,,20240108.0,2024-01-08 00:18:03,20240109.0,2024-01-09 00:18:03
154,9000000153,1000000153,PICKUP,CANCELLED,,,,,
155,9000000154,1000000154,PICKUP,SHIPPED,,20240701.0,2024-07-01 13:02:42,20240702.0,2024-07-02 13:02:42
156,9000000155,1000000155,Correo Argentino,DELIVERED,TRK-MPCEM8ML7K,20240213.0,2024-02-13 00:38:46,20240217.0,2024-02-17 00:38:46
157,9000000156,1000000156,PICKUP,DELIVERED,,20241029.0,2024-10-29 15:18:07,20241030.0,2024-10-30 15:18:07
158,9000000157,1000000157,PICKUP,CANCELLED,,,,,
159,9000000158,1000000158,PICKUP,DELIVERED,,20240424.0,2024-04-24 23:37:56,20240425.0,2024-04-25 23:37:56
160,9000000159,1000000159,Correo Argentino,DELIVERED,TRK-7LRC6G1HAV,20240715.0,2024-07-15 06:58:24,20240720.0,2024-07-20 06:58:24
161,9000000160,1000000160,PICKUP,DELIVERED,,20240613.0,2024-06-13 10:29:35,20240614.0,2024-06-14 10:29:35
162,9000000161,1000000161,Correo Argentino,DELIVERED,TRK-ZU6O2A2X17,20241022.0,2024-10-22 00:31:01,20241026.0,2024-10-26 00:31:01
163,9000000162,1000000162,PICKUP,SHIPPED,,20250731.0,2025-07-31 20:20:03,20250801.0,2025-08-01 20:20:03
164,9000000163,1000000163,Correo Argentino,DELIVERED,TRK-U6UA2YY3HB,20240225.0,2024-02-25 10:30:38,20240229.0,2024-02-29 10:30:38
165,9000000164,1000000164,Correo Argentino,DELIVERED,TRK-TMG2PU2NU4,20250223.0,2025-02-23 06:18:41,20250225.0,2025-02-25 06:18:41
166,9000000165,1000000165,Correo Argentino,DELIVERED,TRK-D8V0DBNSG3,20250828.0,2025-08-28 08:06:56,20250901.0,2025-09-01 08:06:56
167,9000000166,1000000166,Correo Argentino,DELIVERED,TRK-TTEUGQV2X2,20250728.0,2025-07-28 20:39:32,20250730.0,2025-07-30 20:39:32
168,9000000167,1000000167,Correo Argentino,CANCELLED,,,,,
169,9000000168,1000000168,Correo Argentino,CANCELLED,,,,,
170,9000000169,1000000169,Correo Argentino,DELIVERED,TRK-NM8H174TJH,20240709.0,2024-07-09 20:03:47,20240714.0,2024-07-14 20:03:47
171,9000000170,1000000170,PICKUP,SHIPPED,,20240329.0,2024-03-29 08:07:40,20240330.0,2024-03-30 08:07:40
172,9000000171,1000000171,Correo Argentino,READY,TRK-GZTE0MZNMX,20250228.0,2025-02-28 13:25:36,20250303.0,2025-03-03 13:25:36
173,9000000172,1000000172,Correo Argentino,DELIVERED,TRK-DGOJGP2GBU,20240508.0,2024-05-08 09:39:45,20240512.0,2024-05-12 09:39:45
174,9000000173,1000000173,Correo Argentino,DELIVERED,TRK-VBAXIAQJKB,20250617.0,2025-06-17 15:40:09,20250622.0,2025-06-22 15:40:09
175,9000000174,1000000174,PICKUP,DELIVERED,,20240907.0,2024-09-07 01:13:23,20240908.0,2024-09-08 01:13:23
176,9000000175,1000000175,Correo Argentino,SHIPPED,TRK-WD62JC0VLK,20240601.0,2024-06-01 19:23:40,20240604.0,2024-06-04 19:23:40
177,9000000176,1000000176,PICKUP,DELIVERED,,20250225.0,2025-02-25 07:13:53,20250226.0,2025-02-26 07:13:53
178,9000000177,1000000177,Correo Argentino,DELIVERED,TRK-TSU2MSGQGV,20241124.0,2024-11-24 21:44:13,20241127.0,2024-11-27 21:44:13
179,9000000178,1000000178,PICKUP,SHIPPED,,20250503.0,2025-05-03 06:20:13,20250504.0,2025-05-04 06:20:13
180,9000000179,1000000179,Correo Argentino,DELIVERED,TRK-DOH59G5HG5,20250813.0,2025-08-13 08:58:40,20250816.0,2025-08-16 08:58:40
181,9000000180,1000000180,Correo Argentino,DELIVERED,TRK-WTK41NS6CW,20240522.0,2024-05-22 07:44:42,20240524.0,2024-05-24 07:44:42
182,9000000181,1000000181,Correo Argentino,DELIVERED,TRK-2HK5GYIMQ5,20241113.0,2024-11-13 19:15:20,20241115.0,2024-11-15 19:15:20
183,9000000182,1000000182,Correo Argentino,DELIVERED,TRK-3VO06V5F4C,20240909.0,2024-09-09 21:03:06,20240916.0,2024-09-16 21:03:06
184,9000000183,1000000183,PICKUP,SHIPPED,,20241026.0,2024-10-26 15:02:26,20241027.0,2024-10-27 15:02:26
185,9000000184,1000000184,PICKUP,SHIPPED,,20250511.0,2025-05-11 05:25:54,20250512.0,2025-05-12 05:25:54
186,9000000185,1000000185,Correo Argentino,DELIVERED,TRK-XVT3OPQZDN,20240719.0,2024-07-19 22:03:50,20240724.0,2024-07-24 22:03:50
187,9000000186,1000000186,Correo Argentino,DELIVERED,TRK-6LCGCSEFEL,20240731.0,2024-07-31 17:31:33,20240802.0,2024-08-02 17:31:33
188,9000000187,1000000187,PICKUP,DELIVERED,,20250212.0,2025-02-12 20:45:02,20250213.0,2025-02-13 20:45:02
189,9000000188,1000000188,PICKUP,DELIVERED,,20250823.0,2025-08-23 17:59:12,20250824.0,2025-08-24 17:59:12
190,9000000189,1000000189,Correo Argentino,SHIPPED,TRK-MZ7KO0QL4T,20240503.0,2024-05-03 13:34:34,20240505.0,2024-05-05 13:34:34
191,9000000190,1000000190,Correo Argentino,SHIPPED,TRK-X696GHSKZW,20240606.0,2024-06-06 16:15:54,20240611.0,2024-06-11 16:15:54
192,9000000191,1000000191,Correo Argentino,CANCELLED,,,,,
193,9000000192,1000000192,PICKUP,SHIPPED,,20240308.0,2024-03-08 16:48:50,20240309.0,2024-03-09 16:48:50
194,9000000193,1000000193,Correo Argentino,DELIVERED,TRK-N0C9SM2QFJ,20240216.0,2024-02-16 04:24:55,20240219.0,2024-02-19 04:24:55
195,9000000194,1000000194,Correo Argentino,DELIVERED,TRK-7MYF01NWQ1,20250914.0,2025-09-14 14:18:48,20250919.0,2025-09-19 14:18:48
196,9000000195,1000000195,Correo Argentino,DELIVERED,TRK-5950NTLRAC,20250301.0,2025-03-01 05:52:06,20250305.0,2025-03-05 05:52:06
197,9000000196,1000000196,Correo Argentino,DELIVERED,TRK-3RJ4BIOHK0,20250815.0,2025-08-15 22:25:58,20250817.0,2025-08-17 22:25:58
198,9000000197,1000000197,Correo Argentino,DELIVERED,TRK-M0DL4YCPUU,20240410.0,2024-04-10 00:49:19,20240412.0,2024-04-12 00:49:19
